Time Done Counter ack_out a_out_h a_out_l
1681637 0 578 1 0 0
1681845 0 578 0 10529074 2219187307
1681847 0 580 1 0 0
1687231 0 580 0 10529569 3569424489
1687233 0 582 1 0 0
1689153 0 582 0 10529584 3569493218
1689155 0 584 1 0 0
1700467 0 584 0 10529872 3426823463
1700469 0 586 1 0 0
1719821 0 586 0 10535761 3594596521
1719823 0 588 1 0 0
1723785 0 588 0 10537242 2289404293
1723787 0 590 1 0 0
1724101 0 590 0 10537272 2294617195
1724103 0 592 1 0 0
1724951 0 592 0 10537312 2292421739
1724953 0 594 1 0 0
1733871 0 594 0 10537754 2291314759
1733873 0 596 1 0 0
1737903 0 596 0 10537801 1486986308
1737905 0 598 1 0 0
1740585 0 598 0 10538001 3593643146
1740587 0 600 1 0 0
1743441 0 600 0 10538040 2520060197
1743443 0 602 1 0 0
1743623 0 602 0 10538040 2522157347
1743625 0 604 1 0 0
1744785 0 604 0 10538056 2318736523
1744787 0 606 1 0 0
1760287 0 606 0 10568498 1480957090
1760289 0 608 1 0 0
1761487 0 608 0 10568498 3535964295
1761489 0 610 1 0 0
1764733 0 610 0 10568520 2293470598
1764735 0 612 1 0 0
1772523 0 612 0 10569016 2553483563
1772525 0 614 1 0 0
1773199 0 614 0 10569032 2293477571
1773201 0 616 1 0 0
1773699 0 616 0 10569032 2553650310
1773701 0 618 1 0 0
1775971 0 618 0 10569498 3301090438
1775973 0 620 1 0 0
1776389 0 620 0 10569498 3535964294
1776391 0 622 1 0 0
1778113 0 622 0 10569504 2462264421
1778115 0 624 1 0 0
1778473 0 624 0 10569504 2522977289
1778475 0 624 1 0 0
1778683 0 624 0 10569504 2522977673
1778685 0 626 1 0 0
1780779 0 626 0 10569504 2559939686
1780781 0 628 1 0 0
1788083 0 628 0 10570808 2519929125
1788085 0 630 1 0 0
1790803 0 630 0 10570824 2318769286
1790805 0 632 1 0 0
1812861 0 632 0 10576698 1220876357
1812863 0 634 1 0 0
1813691 0 634 0 10576698 2291536966
1813693 0 636 1 0 0
1821855 0 636 0 10577170 1480822086
1821857 0 638 1 0 0
1824063 0 638 0 10577178 1480662342
1824065 0 640 1 0 0
1828047 0 640 0 10577232 2352356644
1828049 0 642 1 0 0
1830619 0 642 0 10577250 1218549831
1830621 0 644 1 0 0
1833497 0 644 0 10577690 2218993029
1833499 0 646 1 0 0
1835259 0 646 0 10577696 2328169673
1835261 0 648 1 0 0
1836459 0 648 0 10577696 2559773866
1836461 0 650 1 0 0
1840693 0 650 0 10577760 2359399716
1840695 0 652 1 0 0
1841519 0 652 0 10577760 3527742534
1841521 0 654 1 0 0
1842481 0 654 0 10578193 1421973639
1842483 0 656 1 0 0
1844057 0 656 0 10578201 1153768582
1844059 0 658 1 0 0
1861101 0 658 0 10584649 3367082309
1861103 0 660 1 0 0
1873021 0 660 0 10585370 2360414441
1873023 0 662 1 0 0
1875251 0 662 0 10585416 2292419787
1875253 0 664 1 0 0
1875731 0 664 0 10585416 2293468486
1875733 0 666 1 0 0
1877195 0 666 0 10585418 3366033479
1877197 0 668 1 0 0
1884565 0 668 0 10585888 2454826186
1884567 0 670 1 0 0
1885659 0 670 0 10585888 2523204777
1885661 0 672 1 0 0
1889271 0 672 0 10586385 1413721190
1889273 0 674 1 0 0
1889675 0 674 0 10586385 1415687396
1889677 0 676 1 0 0
1894287 0 676 0 10586402 2326862950
1894289 0 678 1 0 0
1902669 0 678 0 10765634 2554698854
1902671 0 680 1 0 0
1911559 0 680 0 10765890 3401912547
1911561 0 682 1 0 0
1912511 0 682 0 10765907 179444840
1912513 0 684 1 0 0
1913867 0 684 0 10765912 3569524871
1913869 0 686 1 0 0
1915067 0 686 0 10766363 341153927
1915069 0 688 1 0 0
1923441 0 688 0 10767385 3561329926
1923443 0 690 1 0 0
1951233 0 690 0 10782296 3569524807
1951235 0 692 1 0 0
1955887 0 692 0 10782800 2360586341
1955889 0 694 1 0 0
1960611 0 694 0 10782808 3425047786
1960613 0 696 1 0 0
1961111 0 696 0 10782808 3564286022
1961113 0 698 1 0 0
1968561 0 698 0 10783298 3334670503
1968563 0 700 1 0 0
1974559 0 700 0 10783808 3597830346
1974561 0 702 1 0 0
1983449 0 702 0 10789442 3334672711
1983451 0 704 1 0 0
1990493 0 704 0 10789698 3301118186
1990495 0 706 1 0 0
2000255 0 706 0 10790947 337849447
2000257 0 708 1 0 0
2006285 0 708 0 10791441 376835272
2006287 0 710 1 0 0
2006767 0 710 0 10791441 410102984
2006769 0 712 1 0 0
2008523 0 712 0 10791442 3435241607
2008525 0 714 1 0 0
2010553 0 714 0 10791457 3592820995
2010555 0 716 1 0 0
2011103 0 716 0 10791458 3334676551
2011105 0 718 1 0 0
2011387 0 718 0 10791458 3334703366
2011389 0 720 1 0 0
2012093 0 720 0 10791458 3502348359
2012095 0 722 1 0 0
2015419 0 722 0 10791490 3334703238
2015421 0 724 1 0 0
2015973 0 724 0 10791953 376769736
2015975 0 726 1 0 0
2028031 0 726 0 10797626 3502411076
2028033 0 728 1 0 0
2029447 0 728 0 10797650 113384619
2029449 0 730 1 0 0
2035679 0 730 0 10797905 3592597764
2035681 0 732 1 0 0
2044131 0 732 0 10799123 108145834
2044133 0 734 1 0 0
2044605 0 734 0 10799129 3626341700
2044607 0 736 1 0 0
2047103 0 736 0 10799633 3594793123
2047105 0 738 1 0 0
2047771 0 738 0 10799633 3628441763
2047773 0 740 1 0 0
2053461 0 740 0 10800145 3594785898
2053463 0 742 1 0 0
2060009 0 742 0 10800186 3327467650
2060011 0 744 1 0 0
2066575 0 744 0 10805824 3628438854
2066577 0 746 1 0 0
2066943 0 746 0 10805824 3634539716
2066945 0 748 1 0 0
2073121 0 748 0 10806083 71511210
2073123 0 750 1 0 0
2076577 0 750 0 10806104 2421559498
2076579 0 752 1 0 0
2082029 0 752 0 10806554 3433433224
2082031 0 754 1 0 0
2084717 0 754 0 10806616 2359693571
2084719 0 756 1 0 0
2085345 0 756 0 10806616 2489463043
2085347 0 758 1 0 0
2087633 0 758 0 10807826 3427147939
2087635 0 760 1 0 0
2090367 0 760 0 10807840 2555748547
2090369 0 762 1 0 0
2106901 0 762 0 10838584 3502381381
2106903 0 764 1 0 0
2113351 0 764 0 10838848 2328173702
2113353 0 766 1 0 0
2121599 0 766 0 10839322 2351307912
2121601 0 768 1 0 0
2125613 0 768 0 10839355 337778947
2125615 0 770 1 0 0
2134447 0 770 0 10839579 343017640
2134449 0 772 1 0 0
2135961 0 772 0 10839584 2488377735
2135963 0 774 1 0 0
2140099 0 774 0 10839619 71638179
2140101 0 776 1 0 0
2162917 0 776 0 10847506 2353373287
2162919 0 778 1 0 0
2167269 0 778 0 10847552 2522979652
2167271 0 780 1 0 0
2178255 0 780 0 10848288 2488511590
2178257 0 782 1 0 0
2178563 0 782 0 10848288 2489683111
2178565 0 784 1 0 0
2193803 0 784 0 11027787 145984712
2193805 0 786 1 0 0
2204763 0 786 0 11028057 3627196553
2204765 0 788 1 0 0
2210927 0 788 0 11028313 281185481
2210929 0 790 1 0 0
2221779 0 790 0 11029313 305307014
2221781 0 792 1 0 0
2239983 0 792 0 11044426 3296070824
2239985 0 794 1 0 0
2248591 0 794 0 11044680 2555748547
2248593 0 796 1 0 0
2252535 0 796 0 11044698 113452101
2252537 0 798 1 0 0
2256249 0 798 0 11045147 74815749
2256251 0 800 1 0 0
2268023 0 800 0 11045704 2352197893
2268025 0 802 1 0 0
