=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.10.20 18:57:10 =~=~=~=~=~=~=~=~=~=~=~=
Time Done Counter ack_out a_out_2 a_out_1 a_out_0
2510047 0 606 0 0 304677419 1388514539
2510049 0 608 1 0 0 0
2518575 0 608 0 0 304677723 1310929189
2518577 0 610 1 0 0 0
2520495 0 610 0 0 304678419 1450347820
2520497 0 612 1 0 0 0
2522365 0 612 0 0 304678427 1153735851
2522367 0 614 1 0 0 0
2523669 0 614 0 0 304678491 1148357932
2523671 0 616 1 0 0 0
2525445 0 616 0 0 304678496 2589173091
2525447 0 618 1 0 0 0
2535445 0 618 0 0 304680235 74815593
2535447 0 620 1 0 0 0
2536247 0 620 0 0 304680264 3425015020
2536249 0 622 1 0 0 0
2538293 0 622 0 0 304680280 3424825639
2538295 0 624 1 0 0 0
2548425 0 624 0 0 304710442 382802215
2548427 0 626 1 0 0 0
2554513 0 626 0 0 304711186 3459687592
2554515 0 628 1 0 0 0
2561679 0 628 0 0 304711241 1154714984
2561681 0 630 1 0 0 0
2565201 0 630 0 0 304711257 1154784360
2565203 0 632 1 0 0 0
2594699 0 632 0 0 304720168 3597742280
2594701 0 634 1 0 0 0
2604065 0 634 0 0 304720667 240198856
2604067 0 636 1 0 0 0
2619497 0 636 0 0 304900177 1512288457
2619499 0 638 1 0 0 0
2628137 0 638 0 0 304900665 1478926537
2628139 0 640 1 0 0 0
2652603 0 640 0 0 304915283 1321279689
2652605 0 642 1 0 0 0
2656865 0 642 0 0 304916560 3659769036
2656867 0 644 1 0 0 0
2657323 0 644 0 0 304916560 3663799532
2657325 0 646 1 0 0 0
2659619 0 646 0 0 304916576 3659831623
2659621 0 648 1 0 0 0
2672631 0 648 0 0 304917584 3458639048
2672633 0 650 1 0 0 0
2675393 0 650 0 0 304917587 1312033062
2675395 0 652 1 0 0 0
2676157 0 652 0 0 304931409 1518448841
2676159 0 654 1 0 0 0
2676961 0 654 0 0 304931409 2587111593
2676963 0 656 1 0 0 0
2682967 0 656 0 0 304931664 2590290181
2682969 0 658 1 0 0 0
2683639 0 658 0 0 304931667 1147449512
2683641 0 660 1 0 0 0
2683897 0 660 0 0 304931667 1149415718
2683899 0 662 1 0 0 0
2684217 0 662 0 0 304931667 1249980617
2684219 0 664 1 0 0 0
2686693 0 664 0 0 304931681 2463175946
2686695 0 666 1 0 0 0
2689089 0 666 0 0 304933393 1389469900
2689091 0 668 1 0 0 0
2694729 0 668 0 0 304933472 3397461414
2694731 0 670 1 0 0 0
2696517 0 670 0 0 304933473 1154783491
2696519 0 672 1 0 0 0
2711977 0 672 0 0 304939562 2591142089
2711979 0 674 1 0 0 0
2717855 0 674 0 0 304939625 2462227779
2717857 0 676 1 0 0 0
2720227 0 676 0 0 304939819 1388513514
2720229 0 678 1 0 0 0
2721747 0 678 0 0 304939835 73836713
2721749 0 680 1 0 0 0
2724325 0 680 0 0 304939851 170076583
2724327 0 682 1 0 0 0
2732309 0 682 0 0 304939882 2384671013
2732311 0 684 1 0 0 0
2735245 0 684 0 0 304940571 74885289
2735247 0 686 1 0 0 0
2737143 0 686 0 0 304940640 2323032169
2737145 0 688 1 0 0 0
2738473 0 688 0 0 304940640 3665070250
2738475 0 690 1 0 0 0
2741185 0 690 0 0 304941585 2260968869
2741187 0 692 1 0 0 0
2744385 0 692 0 0 304941595 1388513509
2744387 0 694 1 0 0 0
2749047 0 694 0 0 304941664 3391396263
2749049 0 696 1 0 0 0
2758955 0 696 0 0 304942136 3659703498
2758957 0 698 1 0 0 0
2764273 0 698 0 0 304947754 406232390
2764275 0 700 1 0 0 0
2767649 0 700 0 0 304947809 1319540995
2767651 0 702 1 0 0 0
2768371 0 702 0 0 304947810 114501799
2768373 0 704 1 0 0 0
2774703 0 704 0 0 304948010 2556501416
2774705 0 706 1 0 0 0
2778563 0 706 0 0 304948066 2396067078
2778565 0 708 1 0 0 0
2789223 0 708 0 0 304948833 1154722051
2789225 0 710 1 0 0 0
2796773 0 710 0 0 304950298 80947429
2796775 0 712 1 0 0 0
2813211 0 712 0 0 304981579 74557701
2813213 0 714 1 0 0 0
2826905 0 714 0 0 304982553 2552501481
2826907 0 716 1 0 0 0
2827815 0 716 0 0 304982568 2557583561
2827817 0 718 1 0 0 0
2863971 0 718 0 0 305178715 1181821129
2863973 0 720 1 0 0 0
2874613 0 720 0 0 305179985 2519966792
2874615 0 722 1 0 0 0
2886551 0 722 0 0 305195283 1252268387
2886553 0 724 1 0 0 0
2888047 0 724 0 0 305195289 2594247947
2888049 0 726 1 0 0 0
2889637 0 726 0 0 305195352 2318674342
2889639 0 728 1 0 0 0
2903475 0 728 0 0 305196368 2352324777
2903477 0 730 1 0 0 0
2904457 0 730 0 0 305196368 3397755974
2904459 0 732 1 0 0 0
2926369 0 732 0 0 305204008 2594409673
2926371 0 734 1 0 0 0
2927085 0 734 0 0 305204008 3433466151
2927087 0 736 1 0 0 0
2928033 0 736 0 0 305204024 3659831621
2928035 0 738 1 0 0 0
2932745 0 738 0 0 305204506 2351273193
